Table with row headers in columns A and B and column headers in rows 4 through 6,,,,,,,,,,,
"Table 1. Reported Voting and Registration, by Sex and Single Years of Age: November 2024",,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,
Characteristics,,Total population,United States citizen,,,,,,,Total population,
,,,Total citizen population,Reported registered,Reported not registered,No response to registration1,Reported voted,Reported not voted,No response to voting2,Reported registered,Reported voted
,,,,Number,Number,Number,Number,Number,Number,Percent,Percent
BOTH SEXES,53 years,"4,078","3,644","2,744",436,464,"2,473",726,444,67.3,60.6
BOTH SEXES,54 years,"4,258","3,910","3,043",323,544,"2,795",578,537,71.5,65.6
BOTH SEXES,55 years,"4,115","3,733","2,911",343,478,"2,622",623,488,70.7,63.7
BOTH SEXES,56 years,"3,895","3,514","2,729",325,459,"2,546",516,452,70.1,65.4
BOTH SEXES,57 years,"3,874","3,482","2,621",337,524,"2,373",568,541,67.6,61.3
BOTH SEXES,58 years,"3,809","3,438","2,672",336,430,"2,456",581,402,70.1,64.5
BOTH SEXES,59 years,"4,323","4,086","3,141",352,593,"2,861",636,589,72.7,66.2
BOTH SEXES,60 years,"4,229","3,905","3,013",377,516,"2,707",699,499,71.2,64.0
BOTH SEXES,61 years,"4,323","4,020","3,107",363,550,"2,808",680,532,71.9,65.0
BOTH SEXES,62 years,"4,217","3,909","3,136",311,461,"2,918",516,474,74.4,69.2
BOTH SEXES,63 years,"4,065","3,809","3,028",291,489,"2,757",550,502,74.5,67.8
BOTH SEXES,64 years,"4,264","4,086","3,226",364,496,"2,966",647,473,75.7,69.6
BOTH SEXES,65 years,"3,754","3,566","2,779",277,510,"2,583",487,496,74.0,68.8
BOTH SEXES,66 years,"3,868","3,673","2,969",287,416,"2,790",474,410,76.8,72.1
BOTH SEXES,67 years,"3,925","3,688","2,947",267,474,"2,742",479,467,75.1,69.9
BOTH SEXES,68 years,"3,817","3,669","2,911",271,487,"2,741",445,483,76.3,71.8
BOTH SEXES,69 years,"3,774","3,615","2,911",323,380,"2,729",509,377,77.1,72.3
BOTH SEXES,70 years,"3,540","3,414","2,766",291,357,"2,549",500,365,78.1,72.0
BOTH SEXES,71 years,"3,510","3,399","2,705",255,439,"2,524",456,419,77.1,71.9
BOTH SEXES,72 years,"3,210","3,098","2,521",193,384,"2,375",348,375,78.5,74.0
BOTH SEXES,73 years,"2,945","2,848","2,345",177,326,"2,206",330,312,79.6,74.9
BOTH SEXES,74 years,"2,892","2,783","2,306",163,314,"2,151",324,308,79.7,74.4
BOTH SEXES,75 years,"2,760","2,642","2,124",202,316,"1,992",352,298,76.9,72.2
BOTH SEXES,76 years,"2,657","2,549","2,079",164,306,"1,962",284,303,78.3,73.8
BOTH SEXES,77 years,"2,797","2,708","2,235",151,323,"2,103",281,324,79.9,75.2
BOTH SEXES,78 years,"2,178","2,118","1,750",122,247,"1,590",300,229,80.3,73.0
BOTH SEXES,79 years,"1,643","1,588","1,299",101,187,"1,183",240,165,79.1,72.0
